Age,Usedfor,Date,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,SidesEffects,UsefulCount,,Sentiment,Topic Discussion
35-44,High Blood Pressure,4/27/2009,AmoxID1,1,1, Well I just went to the doctor today .. To switch from norvasc to AmoxID1. After reading all your reviews . I do not think Im going to even make the switch. I would rather deal with the dizziness and lightheadedness and slight fatigue. I get from Norvasc. My only goal now is to eat heathier and loose about 45 LBS. and get off these awful drugs...,1,Female,,2,,,
45-54,High Blood Pressure,4/27/2009,AmoxID1,4,3,"Just started taking this med.  Switched to nighttime as it made me extremely dizzy, tired and confused.  My doc did not ask me to monitor my BP. . .I see him in 1 month for a re-check.",3,Female,,4,,,
45-54,High Blood Pressure,4/27/2009,AmoxID1,5,5,my blood pressure went down immediately when taking this drug...however i developed a cough that started a few weeks after...first i thought i was coming down with a cold...went away after a few weeeks then soon returned getting worse each time...so bad i could not sleep at night nothing seemed to help..finally went to doctors they did some blood work with no results and then suggested maybe medication ...after looking at this web sight i found other people who were dealing with the same problem as i had...thank God ..I was starting to think the worst..I stopped the medication and already feal the tightness in my throat subsiding but I'm still coughing...cant wait to get a full nights sleep,1,Female,,8,,,
55-64,High Blood Pressure,4/26/2009,AmoxID1,4,4,"This med lowered my BP immediately.  HOWEVER, I developed an excruciating cough soon after I started taking it... even struggling to catch my breath at times. The cough started in Nov., 2008(the beginning of cold weather) and continued until one week after I stopped the drug.  I thought I had lung cancer-even tho I don't smoke!Now I have lost my senses of tasting and smelling. Is it connected?  I know the cough was caused by the drug because of all the reviews I had read online.  Be careful with this drug. ",1,Female,,13,,,
75 or over,High Blood Pressure,4/26/2009,AmoxID1,3,2, ,3,Female,,0,,,
65-74,High Blood Pressure,4/25/2009,AmoxID1,3,3,"Take one and a half tabs of this drug daily. [30 MG total] Blood pressure remains consistently elevated. [Not too high, 180/90 range.] Is their other meds that would be more effective?",3,Male,,2,,,
55-64,High Blood Pressure,4/25/2009,AmoxID1,5,4, ,3,Male,,0,,,
65-74,High Blood Pressure,4/25/2009,AmoxID1,1,1,I have had a cough for 2 months. I finally have stoppd this medication and I am waiting for the cough to go away. So far it has not stopped. I have been off the medication for 1 week.,1,Female,,7,,,
55-64,High Blood Pressure,4/25/2009,AmoxID1,5,4,"When my dosage was changed from two times a day at 5 mg to once a day 10 mg, I had severe diarrea and leg cramping for two days. this started happening 3 days after the dosage change.  I believe it caused dehydration at that doasage one time a day causing these systmes. Until it get with my doctor, I am changing the dosage back to the orginal 5 mg two times a day. You need to be your own advocate.",4,Male,,5,,,
55-64,High Blood Pressure,4/24/2009,AmoxID1,2,3,Causes severe hacking cough and when taken with Amlodipine will lead to nightmares,1,Female,,4,,,
35-44,High Blood Pressure,4/24/2009,AmoxID1,4,4,"I thought I was safe, by the 3rd week. Got a sore throat, then congestion, then a horrible cough...Couldnt figure out where the diarrea was coming from till I looked on here.  My next appt is next week, I will be sure and let the doctor know. What price to pay, since it did lower my BP significantly.  ",2,Female,,6,,,
65-74,High Blood Pressure,4/24/2009,AmoxID1,1,1,I have had a cough while taking AmoxID1. It has lasted over 6 weeks,1,Female,,7,,,
55-64,High Blood Pressure,4/23/2009,AmoxID1,1,1,"I had severe muscle cramps in my legs, difficulty walking or standing, dizziness, pain in knees and ankles.  The leg muscles swelled and it was very painful to walk.  I felt like my legs were becoming paralyzed. This was AmoxID1/HCTZ 12.5 mg HCTZ (hydrochlorithiazide) has worked well for me alone, as has Metoporal.  The AmoxID1 affected me for about 12 hours.  I do not know why it affected me or what it did to my body but I will not be taking it again.  Warnings for muscle cramps was in my pharmacy handout but I did not see it here.  ",1,Female,,7,,,
55-64,Kidney Problem caused by Body Tissue Disease-Scleroderma,4/23/2009,AmoxID1,4,4, ,4,Male,,1,,,
35-44,High Blood Pressure,4/22/2009,AmoxID1,5,5,Brought BP down quickly but made me tired and hungry most of the time and gave me a cough.  I am going to try diuretics instead. ,1,Male,,2,,,
45-54,High Blood Pressure,4/22/2009,AmoxID1,5,3,I've taken the 5mg dosage for 2 months now and it has dropped my bp 5 - 10 points.  I'm taking this medication in conjuction with Coreg. No side affects.,3,Male,,4,,,
55-64,High Blood Pressure,4/21/2009,AmoxID1,4,1,Brought pressure down dangerously low and made me feel severely tired,1,Female,,3,,,
45-54,High Blood Pressure,4/21/2009,AmoxID1,5,4,"Blood pressure was immediately lowered, 
but after a few weeks severe coughing attacks started. Family and co-workers thought I had TB and called me Doc Holiday. Work suffered. Dr. prescribed a new drug after 2 horrible months.",1,Female,,11,,,
55-64,High Blood Pressure,4/21/2009,AmoxID1,1,3,This medication caused me to break out in a rash similar to hives within a couple hours of taking the dose.  It also made me have heart palpitations.  I only took it for a couple of days because of the rash.,1,Female,,5,,,
45-54,High Blood Pressure,4/21/2009,AmoxID1,4,4, ,4,Female,,1,,,
55-64,High Blood Pressure,4/20/2009,AmoxID1,1,2,Severe allergic reaction after 3 months of use.,1,Male,,3,,,
65-74,High Blood Pressure,4/20/2009,AmoxID1,4,2,Fatigue and muscle weakness.,1,Male,,6,,,
55-64,High Blood Pressure,4/20/2009,AmoxID1,5,2,This medicine has given me allergy symptoms and the worst cough ever.  I have coughed enough to have a lost a lung.  Coughing to the point of throwing up.  This medicine has got to go.,1,Female,,13,,,
35-44,Kidney Disease from Diabetes,4/20/2009,AmoxID1,5,1,"The day after I started AmoxID1 I had a sore throat. Then I developed the most annoying cough ever! It kept me up half the night, I couldn't get a good night sleep. I tried over the counter cough supressants but NOTHING worked.I am stopping this medication.I can't live like this!",1,Female,,15,,,
25-34,High Blood Pressure,4/19/2009,AmoxID1,5,4,"I have taken AmoxID1 for almost 3 years now, i just switched from 10 to 20mg. It works pretty well, it keeps my blood pressure down. The only side effect that I have from switching to a  higher dose is nausea, not severe nausea though.",4,Female,,2,,,
19-24,High Blood Pressure,4/19/2009,AmoxID1,5,3,"I've been taking this med for 4 days now, and I feel awful.  The I had to call in to work the second day I was on it because I woke up and felt like I hadn't slept at all.  I have been very tired and weak.  High BP is a hereditary problem for me, but I am considering going the all-natural route to solve this problem.",3,Male,,9,,,
45-54,High Blood Pressure,4/18/2009,AmoxID1,5,5,"Originally I was taking 40 mg./day and for the past year have decreased to 20 mg./day.  The fact that I have refrained from any alcohol, decreasing my salt intake and taking 2000 mg./day of Omega 3 has helped tremendously in lowing my blood pressure.  My next goal is to stop smoking entirely in hope that I will not have to take ANY medication in the future.",5,Female,,5,,,
65-74,Failure of the Left Ventricle of the Heart,4/17/2009,AmoxID1,5,.,"I am taking AmoxID1, Metoprolol and Diltiazem and at the same time, as well as other mecications.
I feel lousy.  What does anyone think about this?",2,Female,,3,,,
25-34,High Blood Pressure,4/17/2009,AmoxID1,5,4,Works,3,Male,,3,,,
45-54,High Blood Pressure,4/17/2009,AmoxID1,5,3, ,2,Female,,0,,,
55-64,High Blood Pressure,4/16/2009,AmoxID1,5,4,I have had no problems taking this medication.,5,Female,,5,,,
75 or over,High Blood Pressure,4/16/2009,AmoxID1,4,4, ,4,Male,,1,,,
65-74,High Blood Pressure,4/15/2009,AmoxID1,5,3,"Started taking this med for high blood pressure, and as an added bonus, it has stopped my headaches.  I love it.",4,Male,,4,,,
45-54,High Blood Pressure,4/15/2009,AmoxID1,5,3,"If you develop a headache with this medicine, then, do not take it because you will end up taking additional medication to try to resolve the headache problem thus, adding to the high blood pressure issue!!",2,Female,,6,,,
45-54,High Blood Pressure,4/15/2009,AmoxID1,3,3, ,3,Female,,2,,,
45-54,High Blood Pressure,4/15/2009,AmoxID1,1,1,I was just put on AmoxID1 and have a sever headache ever since. nothing seems to take the headache away  any sugestions would be very thankful for.,1,Male,,7,,,
45-54,High Blood Pressure,4/14/2009,AmoxID1,5,3,I developed a horrible cough that would occur twice a day around 3:00 p.m and 3:00 a.m.  I could not sleep because I would cough until I threw up and when I did I would throw up bile! Not a med for me!,2,Female,,6,,,
65-74,Failure of the Left Ventricle of the Heart,4/14/2009,AmoxID1,5,4,"After taking this medicine for over 10 years, I was just informed I had extremely high Potassium levels.  Dr. immediately took me off medicine.  Check for potassium levels.  Very Dangerous !!!!!",5,Female,,6,,,
45-54,Failure of the Left Ventricle of the Heart,4/14/2009,AmoxID1,2,3,also using lipitor 80mg simvastatin 40mg metoprolol 25mg plavix 75mg and i am have sexual disfuction can any of these tablets may be a cause to my complain.  i am 49 years,1,Male,,8,,,
65-74,High Blood Pressure,4/14/2009,AmoxID1,4,3,"Have been on medication for bp for about 3 weeks. Felt great when I went to the Dr. Now I have headaches, nausea, dizziness, and last night the pain in my chest and back were so bad I was afraid I was having a heart attack. Would rather take no meds and concentrate on physical changes rather than drug therapy. Feel ""crappy"".",1,Female,,15,,,
45-54,High Blood Pressure,4/14/2009,AmoxID1,5,3,"I took 20mg per day for three years to treat HBP. Developed the night time, itchy back of throat cough, metalic taste, sometimes dizzy when first standing up, noticable reduction of libido, restless sleep and many times waking from sleep feeling very warm, sometimes sweating, and my heart rate very high.  After reading most of these postings, decided enough of this!  I needed to change my eating habits, lose weight and exercise.  I cut my dose in 1/2 for a month, then down to 1/4 for another month.  Check with your doctor before reducing your dose.  During this time I ate less and better, and began to exercise at least five days a week, 30 plus minutes a day.  I now sleep soundly, no waking up overheated, no itchy cough, metalic taste is gone, dizzy no more.  After four months, I weigh 30 lbs less with 25 lbs to more to go.  Point is, ditch the meds and take control.
 ",1,Male,,15,,,
 ,High Blood Pressure,4/14/2009,AmoxID1,4,4,will this drug cause stomach bleeding?,4,Male,,2,,,
55-64,High Blood Pressure,4/13/2009,AmoxID1,3,4,Got dry cough like brochites. It was very bad cough like Asthma. Do not take this medicine.,1,Male,,8,,,
55-64,High Blood Pressure,4/13/2009,AmoxID1,1,1,After taking it for a week I have cough and cough and cough until I would vomit. Then my dr. tells me the side effect is coughing is coughing,1,Female,,6,,,
75 or over,High Blood Pressure,4/13/2009,AmoxID1,4,4,"Tends to lower BP but bad headaches every day,coughing, and
nauseous stomach often.",1,Female,,4,,,
45-54,High Blood Pressure,4/11/2009,AmoxID1,4,4, ,4,Female,,1,,,
35-44,High Blood Pressure,4/10/2009,AmoxID1,4,3,I experience hypothrodism and hair loss muscle pain,1,Female,,2,,,
45-54,Other,4/10/2009,AmoxID1,4,4,I take it for my diabetes - aso far so good. I take it in the AM when I wake up.  No side effects. ,4,Female,,3,,,
45-54,High Blood Pressure,4/10/2009,AmoxID1,5,5,it works very well as far as keeping my blood pressure under control. the only thing I dont like about it is you cant eat or drink anything to do with grapefruit.,5,Male,,4,,,
45-54,High Blood Pressure,4/9/2009,AmoxID1,3,3,i take it at night  but a couple hours later i wake to a headace and my blood presure is up.,3, ,,2,,,
45-54,High Blood Pressure,4/8/2009,AmoxID1,5,3,lots of side effects,3,Male,,2,,,
65-74,Heart Attack,4/8/2009,AmoxID1,1,1,"After using this drug I developed a cough, and my sinus's became inflamed and had a stuffy nose and head.  I thought it was due to my allergies, and I didn't tell the doctor about the cough, although I did tell him about my sinus;s and stuffy head.  Make sure that you mention the cough, or the doctors do not link that symtom with AmoxID1.",1,Female,,9,,,
45-54,High Blood Pressure,4/8/2009,AmoxID1,5,5,Great job lowering my blood pressure without side effects.  I changed to this pill after trying hydrothiazide which did nothing for me. This medication is free when I get it from Krger and through AETNA.,5,Female,,5,,,
35-44,Migraine Prevention,4/8/2009,AmoxID1,4,3,My doctor just put me on this drug to prevent migraines...we're trying yet another preventative drug.  Can anyone tell me if AmoxID1 works for migraine prevention?,3,Female,,3,,,
25-34,High Blood Pressure,4/8/2009,AmoxID1,3,3,"It is funny after reading everyones comments. I was searching for my mom actually, she been on AmoxID1 for about 4+ years and she has been complaining about sore muscles and trouble sleeping, trouble swallowing and very fatigue. The doctor even gave her medication for depression so she can sleep. I even thought she had fibromi---- (can't spell either) but nothing, thank you very much for the comments I will have her check out. Maybe all those years of pain has to do with the high blood pressure medication.",2,Female,,11,,,
25-34,High Blood Pressure,4/8/2009,AmoxID1,3,3,I started taking this medication in Jan 09 and after 3 days my vision was blurry and ended up at the Opthamologist with a new eyeglass Rx not knowing it was this medication.  I also have body aches and coughing.  I thought the body aches were laying restless in the bed at night but now know thats probably from this drug as well.  I also experience the lightheadedness.  Will be going to the Dr next week and see if I cant get this medication changed!,1,Female,,5,,,
35-44,High Blood Pressure,4/8/2009,AmoxID1,3,1,"I have taken 1 pill so far and I have now had severe dizziness, ringing in my left ear, fast heartbeat and a very uneasy feeling.  Until changing to this medicine, I had been taking a diuretic to control my HBP but my doctor felt that I needed something different but I am on my way to his office at this time to definately get SOMETHING DIFFERENT!!",1,Female,,5,,,
65-74,High Blood Pressure,4/7/2009,AmoxID1,2,2,"I started taking AmoxID1 on 4/1/09. I had side effects of a dry cough, spitting up, and it continued until 4/7/09 when I switched back to Benicar. My pharmacist said the AmoxID1 has an ACE Inhibitor ingredient and the Benicar does not. A lot of people have coughing, etc reactions. I only tried the AmoxID1 becacuse of cost of $4 vs Benicar $40 thru Humana prescription drug plan",1,Male,,12,,,
65-74,High Blood Pressure,4/7/2009,AmoxID1,5,5, ,5,Male,,0,,,
75 or over,High Blood Pressure,4/4/2009,AmoxID1,4,4, ,4,Male,,1,,,
65-74,High Blood Pressure,4/4/2009,AmoxID1,4,4, ,4, ,,0,,,
45-54,High Blood Pressure,4/3/2009,AmoxID1,5,5,"I found the drug to be very effective in lowering my blood pressure--especially the top number which I was having problems with--High BP is rampant on both sides of my family.  HOWEVER, since I started AmoxID1, I have developed a hacking, dry cough and my Dr. is taking will prescribe another drug.  H.ope this doesn't have to everyone",4,Female,,13,,,
55-64,High Blood Pressure,4/3/2009,AmoxID1,5,4,seems to help my high blood pressure,5,Female,,1,,,
55-64,High Blood Pressure,7/29/2008,AmoxID1,3,3,It has worked well for me so far. The only thing is I feel a little tired as the day goes on. Sometimes fatigued. I read the side effects and wonder if I should take my dose before bedtime. ,3,Male,,5,,,
55-64,High Blood Pressure,7/27/2008,AmoxID1,3,2,I have been on AmoxID1 for high BP. Started at 10 mg. went to 20 mg and now started on 40 mg.  Can't get BP down!  am very tired now all the time.  Is this a side effect and how common is it?,2,Female,,11,,,
45-54,High Blood Pressure,7/27/2008,AmoxID1,4,4,hi been on this med for about six mouths and its been working great. Then on my next mouth i started to get a dry throat and sore throatand a dry cough for about4 weeks.Istopped taking the med a week ago no more sore throut but still have a dry cough Tim,2,Male,,10,,,
35-44,High Blood Pressure,7/26/2008,AmoxID1,5,5,AAAAAA++++++,5,Female,,6,,,
35-44,High Blood Pressure,7/26/2008,AmoxID1,2,3,"I have been taking AmoxID1 for 4 months, but only taking half of a 10mg tablet. A couple of days ago I had to be admitted to the hospital for an allegic reaction to AmoxID1.  My face, throat and neck swelled and cut of my air passages.  I was told I could never ever take this drug",1,Female,,14,,,
 ,High Blood Pressure,7/25/2008,AmoxID1,5,5,"Lowest dose and it did the job. I experienced fatigue, and now just take it at night before bed.. no more fatigue! 

Have not experienced the dry cough side-effect. ",4, ,,15,,,
65-74,High Blood Pressure,7/23/2008,AmoxID1,3,3,"40 mg isn't enough, so I have to split them to get my 60 mg q.d.  This is a bit inconvenient.  I also take 2 other medications for my BP, HCTZ and bisoprolol.",3,Female,,5,,,
45-54,High Blood Pressure,7/23/2008,AmoxID1,5,5,Along with it I take a water pill but the past few weeks I have noticed more swelling in my feet and ankles than I normally have. Why?,4,Female,,11,,,
45-54,High Blood Pressure,7/22/2008,AmoxID1,4,3,"I take 40mgs/day along with 25mgs of Hydrochlorot for high blood pressure.Headaches are mostly gone now.doc says blood pressures okay last visit.I also take 300mgs of allopurinal for gout,1000mgs metformin and 20mgs glyburide for diabetes,and 150mgs ranitidine for acid reflux so i couldn't tell you what side effects go with this drug.here they are..diarrea,stomach pains,enlarged prostate,bleeding,kidney pain,gout in feet,frequent urination and very low energy.
",4,Male,,4,,,
65-74,High Blood Pressure,7/21/2008,AmoxID1,3,2,"I have taken 10 mg. AmoxID1 for about 9 months.  It has caused me to have a constant night and day cough and has not done anything for the BP.  Since I am on peritoneal dialysis and need to have uninterrupted sleep as much as possible, I plan to talk to my Dr. about taking another medicine.  I have taken many others without side effects like the cough.  It is embarrassing to be out in public, since I cough so hard that I sometimes leak urine.
I certainly the cardiologist RX's another med.
",1,Female,,15,,,
25-34,High Blood Pressure,7/21/2008,AmoxID1,5,5,This has worked for me but the dry cough is getting irritating!!!,4,Female,,11,,,
35-44,High Blood Pressure,7/20/2008,AmoxID1,5,5,"I went on this after my beta-blocker quit. It so far is working but give it 2-3 months and it will have to be upped. Sheesh! I don't eat junk! Never have. So it is just Genetics, d*mnit.",5,Female,,4,,,
55-64,High Blood Pressure,7/20/2008,AmoxID1,1,2,"i have constant pain in my left side when I tske this med,",1,Female,,7,,,
45-54,High Blood Pressure,7/19/2008,AmoxID1,4,4,"I am having so many problems with side-effects that I want off! I have been nauseous and have vomitted. I have no energy at all, and keep having problems with low blood sugar in the late afternoon.",1,Female,,13,,,
55-64,High Blood Pressure,7/19/2008,AmoxID1,3,1,"My husband started this medication over six week ago. Immediately he started coughing,and his bp dropped too low. His md has taken him off this medication but he is still coughing after six weeks. He has had chest pains and dizziness. I do not recommend this drug.",1,Female,,18,,,
25-34,High Blood Pressure,7/19/2008,AmoxID1,4,4,"I went into the doctors office not expecting to hear that I have stage 2/3 hbp, and was very grateful that my doctor immediately took steps to put me on the medication. I've to say I always feared taking prescribed medications because I often feel as if they push you closer to ""the light"" but I'm happy my dr put me on the 10/12.5dose. I'venot tracked my bp, and i know i should, but i feel so much better since i've been taking itover the past 3 weeks. He did tell me about the possible side effects, and i've experience an occasional headache, but hey im in the land of the living. i also know that i need to do my part while taking this medication and start an exercise plan and make better food choices...oh and drink more water. I've not experienced the cough or the scratchy throat that i've often heard lots of people experience. I'm just grateful to be alive, not having the chest pains and heaviness that i'd been having before, there hasn't been any weight gain thank god, and mst of all i'm alive and well to write this review",4,Female,,13,,,
35-44,High Blood Pressure,7/16/2008,AmoxID1,5,2,"The medication helped lower my BP, but I developed a cough that woke me up duing the night and also, it made me cough so much in the morning, that I would get the dry heaves.",1,Female,,19,,,
45-54,High Blood Pressure,7/15/2008,AmoxID1,5,3,"Very effective to reduce blood pressure but the side effect of coughing and gagging is just awful. I'm starting on Diovan, hope I 
have better luck.  ",1,Female,,15,,,
65-74,High Blood Pressure,7/15/2008,AmoxID1,4,3,"I found that at times it controls my blood pressure, and at other times, it doesn't, but the doc continues to keep me on the drug.",3,Female,,6,,,
65-74,High Blood Pressure,7/15/2008,AmoxID1,5,5,No problems,5,Male,,7,,,
45-54,High Blood Pressure,7/14/2008,AmoxID1,1,2,"Started with 5mg a few weeks ago,(I also take metropolol and hydrochordat) cold like symptoms, EXTREME FATIGUE, couldnt function at the end of the day. Called dr, was told to stay off for 2 weeks, go to 2.5mg, started 5 days ago, runny nose,cough, FATIGUE, stressed, sensitive to the sun.  will stop tomorrow and will be contacting dr. again.",1,Female,,19,,,
25-34,High Blood Pressure,7/14/2008,AmoxID1,4,4,"Been on 10mg once a day for 6 days, and will stop taking it tomorrow. Yes, it has already lowered my bp to almost normal, but I cannot function like this. Extreme fatigue, dizzyness, lack of concentration. I'll take the high BP and my energy back. Also developed a rash on forehead.",1,Female,,27,,,
55-64,High Blood Pressure,7/14/2008,AmoxID1,5,5,"Yes, my blood pressure is lower but I have a headache, stomach ache, constant cough, blurry vision and am tired all the time.  One thing I don't have is an erection.  Not happy at all.",1,Male,,20,,,
55-64,High Blood Pressure,7/13/2008,AmoxID1,3,3,I am not sure.,2,Male,,3,,,
55-64,High Blood Pressure,7/12/2008,AmoxID1,3,1,it makes me cough,1,Male,,7,,,
65-74,High Blood Pressure,7/10/2008,AmoxID1,5,5,"so far my experience has been a good one I only wish the pills were smaller,altho they are very easy the stomach.",5,Female,,7,,,
55-64,High Blood Pressure,7/9/2008,AmoxID1,5,1,"After six days of taking AmoxID1 my left toes, left hand and arm felt tight and swollen, my chest felt tight and heavy and it raised my BP. Dr has changed my prescription to Norvasc. Should have stayed with Atenolol.",1,Male,,9,,,
55-64,High Blood Pressure,7/9/2008,AmoxID1,5,4,"Dr. started me on 10mg of AmoxID1 and I had terrible headaches.  I also had mild muscle aches, blurred vision and dry coughing spells that I wrongly attributed to a cold or allergy but my doctor says this is a common side effect when the dosage is too high and he immediately lowered dosage to 5mg and sure enough most of the above symptoms went away.  I also started an exercise program for seniors and in less than 10 months BP now averages 115/75.   ",4,Female,,20,,,
45-54,High Blood Pressure,7/9/2008,AmoxID1,4,3,Lower blood pressure,3,Male,,2,,,
25-34,High Blood Pressure,7/9/2008,AmoxID1,5,5,"have been taking it for 4 months , went to my check up two weeks after starting meds , stated with a bad cough doc prescribed z pak for infection , 3 1/2 months later my cough is unberible , now reading the others it seems to all make sense this is a good bad medication ... im quiting tonight , to top it off i seen one side affect i can not overlook my errection , it is so hard to keep one  ",1,Male,,8,,,
65-74,High Blood Pressure,7/8/2008,AmoxID1,1,1, ,1,Male,,3,,,
45-54,High Blood Pressure,7/8/2008,AmoxID1,5,1,"VERY bad side effects, no effect on blood pressure. Took for 3 weeks & dropped for amlodipine, which is working much better for me. ",1,Female,,2,,,
 ,High Blood Pressure,7/8/2008,AmoxID1,3,3,I was really hoping this medication would be the answer to my high blood pressure. It did bring my blood pressure down but gave me a bad sinus infection and sore scratchy throat.I have had stomach cramps and loose stools. Not the best medicine.,2, ,,10,,,
45-54,High Blood Pressure,7/7/2008,AmoxID1,5,.,"Just started on it, it has made me sleepy, but overall seems to be working",5,Female,,7,,,
65-74,High Blood Pressure,7/7/2008,AmoxID1,5,5,low blood presser,5,Female,,2,,,
55-64,Other,7/6/2008,AmoxID1,5,1,"I HAVE TAKEN THIS DRRUG (20 MG) FOR ONE WEEK. MY BLOOD PRESSURE IS 90/56 AND LOWER!!I HAVE STOMACH CRAMPS, WEAKNESS, CHEST PAIN,BLURING VISION, SHORTNESS OF BREATH,GAINED 3 LBS. BAD BAD HEADACHE. THIS MED IS NOT FOR ME. EVERYONE CHECK OUT THE SIDE EFFECTS CAREFULLY AND WATCH FOR ANY OF THEM WHEN YOU START TAKING THIS MED. I HAVE GONE FROM SWIMMING AND EXERCISING AN HOUR A DAY, TO BARELY ABLE TO GET OUT OF MY BED. EVERYONE BEWARE OF SIDE EFFECTS LISTEN TO YOU BODY AND IF YOU SEE SIDE EFFECTS CONTACT DOCTOR RIGHT AWAY. I DIDN'T WAIT TO CALL DOCTOR I STOPPED ON MY OWN. THIS IS FIRST DAY OFF. BUT I HAVE FELT WELL ENOUGH TO GET UP AND VISON DOESN'T SEEM AS BLURRED.",1,Female,,29,,,
 ,High Blood Pressure,7/6/2008,AmoxID1,3,3, ,3,Female,,4,,,
55-64,High Blood Pressure,7/5/2008,AmoxID1,5,4,Blood pressure headaches have returned even with twice daily intake of 10 mg.,3,Female,,3,,,
55-64,Other,7/2/2008,AmoxID1,4,3,"Have been on AmoxID1 40 mg since diagnosed with Cardiomyopathy 7 months ago, have had 6-7 serious antiphylactic reactions requiring ER care, just now the doctor made this diagnosis and discontinued the drug. Why is the reaction sporadic instead of every day?",1,Female,,17,,,
45-54,High Blood Pressure,7/2/2008,AmoxID1,5,5,"bp was 190/120 and i was on metoprolol, started taking AmoxID1/hctz 20/25 within two weeks bp was 115/60 and has stayed that way with the drug. i am having back surgery in a coulple of weeks so i have not been active for quite some time, that is the reason for high bp, i have not eperienced any side effects from the drug and not sure if i will need to continue after i become more active. if i do it will be fine, hyopertension runs in the family!!!",5,Female,,6,,,
55-64,High Blood Pressure,7/1/2008,AmoxID1,4,4,dizzyness,2,Female,,5,,,
55-64,High Blood Pressure,7/1/2008,AmoxID1,5,5,blood pressure control,5,Female,,2,,,
35-44,High Blood Pressure,6/30/2008,AmoxID1,4,1,"BP was 155/95 when starting low dosage of AmoxID1.  One month later, BP was 145/95 so doc increased dosage.  Within a few days, I felt very upset, angry and stressed all of the time.  Three weeks later, BP was 165/105.  Doc switched medicine to Diovan, and within a few days, I felt much better, and BP is mostly under control.  Didn't have the cough or sore throat that most people had while taking this medication.  ",1,Male,,14,,,
45-54,High Blood Pressure,6/30/2008,AmoxID1,5,5,"Stopped taking 40 mg daily dose of AmoxID1 2 weeks ago after being on it for 4 months. Tickly sore throat and nagging cough developed the past month. Drug did lower BP to 120/75, but these side effects are maddening. Am hoping symptoms will go away; other sufferers say up to 6 weeks for relief. Any similar experiences out there?",1,Male,,15,,,
55-64,High Blood Pressure,6/27/2008,AmoxID1,3,3,"Have been taking 10mg, once a day for 3 weeks. Have had dizziness, almost like a mild hangover, every day for 2 weeks. Also have the dry mouth, coughing, thought that was from a virus from a month ago. Going to call my MD for advice, maybe a lower dose or whatever. I don't like the way i've been feeling and that needs to change.",2,Male,,13,,,
65-74,High Blood Pressure,6/25/2008,AmoxID1,5,4, ,5,Female,,7,,,
55-64,High Blood Pressure,6/25/2008,AmoxID1,4,3,"I have been on 20mg dose for six months and have developed stomach problems. The doctor has tested me for everything and all seems to be ok, but my stomach still aches every day and I am fatigued, tired and sometimes have blurry vision. I have told the doctor, but they have not taken me off this medicine.",2,Female,,15,,,
55-64,High Blood Pressure,6/24/2008,AmoxID1,3,3,I have trouble with my throat. I swallow all night and feel like i need to cough.. is this a side effect?,3,Female,,11,,,
45-54,High Blood Pressure,6/24/2008,AmoxID1,5,5,"I've been treated with AmoxID1 10mg 12.5 for eight years, now, my blood pressure is rising with the medication in my system. My doctor wants me to take Exforge. Why can't I continue taking AmoxID1 at a higher dose?  I don't want to start all over again trying to find out what dose is right for me or fearing to take this medication based on the side effects which really freaks me out.  Is changing my medication really necessary or it's their way of promoting a  product?",5,Female,,6,,,
65-74,High Blood Pressure,6/23/2008,AmoxID1,2,2,i'm having  a very difficult time with this drug. my blood pressure drops to around 75/45 when the weather is hot.(I live in florida) i take a 5 mg tablet twice a day. when my pressure is low my eyes feel dilated when i go outside in the bright sunlight. I have problems when i have to work in the heat I don't know if its me or the drug. i have been  on this drug for about 6 weeks and the I have never felt this bad. anyone ever had these problems????????,1,Male,,11,,,
45-54,High Blood Pressure,6/23/2008,AmoxID1,5,4,I have been on AmoxID1 for over 8 years for HBP.  I have none of the side effects mentioned in some of the reviews.,4,Female,,11,,,
13-18,High Blood Pressure,6/23/2008,AmoxID1,5,5,"I have been on this medication for about three months and my BP has been completely normal.  Before starting AmoxID1, my Dr. had me on Toprol XL which made me very tired and I was almost falling asleep in school.  Then I was put on another medication that gave me a bad cough.  This medication has helped my high blood pressure better than the other things I've been on.",5,Female,,9,,,
35-44,High Blood Pressure,6/21/2008,AmoxID1,3,3,"yah just started never had hp till now under alot of stress so will see onely took it 2 days and feel better already wow dont feel like thr blood is pumping throuh my vain fast and im watching my diet 
 ",3,Female,,5,,,
25-34,Kidney Disease from Diabetes,6/21/2008,AmoxID1,3,1,heart palpatation fluttery pain in chest,1,Female,,7,,,
55-64,High Blood Pressure,6/21/2008,AmoxID1,5,3,"caused severe cramps in hand, feet and legs. Some dizziness. Blood sugar levels have been higher.",2,Male,,11,,,
35-44,High Blood Pressure,6/20/2008,AmoxID1,5,5,"For me works good. I've been taking it for 2 years now, I'm 37 and my BP is normal, I do not feel side effects at all.... and actually reduce the risk of a heart attack ,hey this is perfect!!",5,Female,,10,,,
35-44,High Blood Pressure,6/19/2008,AmoxID1,5,4,Have been taking this AmoxID1 20 mgs daliy for about 6 months.  I'm only 41 not overweight just really high BP Has worked very well at bring BP down from 180/110 to 135/85 Also have a nagging cough...But its worth it to be able to enjoy life,5,Female,,9,,,
65-74,High Blood Pressure,6/18/2008,AmoxID1,4,4, ,4,Male,,4,,,
